symbol,profit,stats,min_price_change
6493,0,"{'initial_capital': 100000, 'final_capital': 100000, 'total_trades': 0, 'winning_trades': 0, 'losing_trades': 0, 'win_rate': 0, 'total_profit': 0, 'total_return_pct': 0, 'avg_win': 0, 'avg_loss': 0, 'avg_win_pct': 0, 'avg_loss_pct': 0, 'profit_factor': 0, 'avg_r_multiple': 0, 'max_drawdown_pct': 0, 'sharpe_ratio': 0}",0.01
6493,0,"{'initial_capital': 100000, 'final_capital': 100000, 'total_trades': 0, 'winning_trades': 0, 'losing_trades': 0, 'win_rate': 0, 'total_profit': 0, 'total_return_pct': 0, 'avg_win': 0, 'avg_loss': 0, 'avg_win_pct': 0, 'avg_loss_pct': 0, 'profit_factor': 0, 'avg_r_multiple': 0, 'max_drawdown_pct': 0, 'sharpe_ratio': 0}",0.03
6493,0,"{'initial_capital': 100000, 'final_capital': 100000, 'total_trades': 0, 'winning_trades': 0, 'losing_trades': 0, 'win_rate': 0, 'total_profit': 0, 'total_return_pct': 0, 'avg_win': 0, 'avg_loss': 0, 'avg_win_pct': 0, 'avg_loss_pct': 0, 'profit_factor': 0, 'avg_r_multiple': 0, 'max_drawdown_pct': 0, 'sharpe_ratio': 0}",0.05
6493,0,"{'initial_capital': 100000, 'final_capital': 100000, 'total_trades': 0, 'winning_trades': 0, 'losing_trades': 0, 'win_rate': 0, 'total_profit': 0, 'total_return_pct': 0, 'avg_win': 0, 'avg_loss': 0, 'avg_win_pct': 0, 'avg_loss_pct': 0, 'profit_factor': 0, 'avg_r_multiple': 0, 'max_drawdown_pct': 0, 'sharpe_ratio': 0}",0.1
