Date	Open	High	Low	Close	Volume
2020/01/02	199.25516677220358	202.39494463123006	198.53060568824498	202.11892700195312	3736300
2020/01/03	199.77270260128674	200.64390004051688	198.6513506315312	199.7554473876953	2274500
2020/01/06	198.3322278716804	201.86017610736062	197.95270523025405	201.79978942871094	3329300
2020/01/07	202.7054608631735	205.09480125739543	202.49843778189046	203.1281280517578	5255200
2020/01/08	203.2920209609811	206.80271359497425	203.11950829525765	205.086181640625	3564700
2020/01/09	208.1741774574073	209.95108266927332	206.86307085482647	209.2610321044922	3980700
2020/01/10	209.39044259122485	209.94249101741062	208.21733804034596	208.83839416503906	2248100
2020/01/13	210.84820254394347	212.28870372483425	209.60609027346032	211.51239013671875	3359200
2020/01/14	211.60723989046207	214.36748162231768	210.9861838555607	211.9005126953125	4302800
2020/01/15	208.74351377027736	215.2128375441496	206.29379966008725	211.51239013671875	5411200
2020/01/16	213.06499996609168	215.4888507986693	212.39219140133605	215.402587890625	3968400
2020/01/17	215.8425038653172	216.04090592763293	213.91896204515479	215.17832946777344	3108400
2020/01/21	213.23751156792014	214.65213629719457	211.8487630769597	211.9350128173828	2492400
2020/01/22	212.7199973042486	214.36752162544175	212.48709795723155	213.0995330810547	2030900
2020/01/23	210.8999435577658	213.05638469843825	209.50257391040913	211.83152770996094	2806800
2020/01/24	211.3916233084665	211.94367172667717	207.53590540747848	208.67449951171875	2877400
2020/01/27	203.88720682896678	206.1471662504489	202.7141022409974	205.41397094726562	2506200
2020/01/28	206.57846182109068	210.10639673676906	205.33634948846222	209.2438201904297	3123000
2020/01/29	210.917185496481	212.62508308706938	206.64743493907437	207.12184143066406	3711600
2020/01/30	205.02581563878837	210.76194424586254	204.1977363863686	210.580810546875	3261700
2020/01/31	208.73488947938242	209.51120305535815	204.32712309056996	205.0775604248047	3482800
2020/02/03	205.60371353303987	209.0798954110201	205.3363169519447	206.1643829345703	2733000
2020/02/04	209.50256588709968	210.24438213755658	208.3553376647726	208.69174194335938	3052500
2020/02/05	211.32259681363448	211.44335698306784	209.60606504066564	210.7274169921875	3126600
2020/02/06	211.63311988373047	211.9954003835396	208.03616480032147	208.58822631835938	2225600
2020/02/07	206.80269106696633	207.46687857761486	204.0424492304593	205.29318237304688	3006500
2020/02/10	204.7756624310199	205.18107445202796	203.10227502309377	204.7411651611328	2591300
2020/02/11	206.15575141016026	206.6301710436875	203.7577901663725	203.96481323242188	2238800
2020/02/12	205.30180295225856	208.03616854387298	205.05166158903353	205.85385131835938	2119200
2020/02/13	205.16381979482887	206.12990123480049	204.05972296004057	205.59510803222656	1461300
2020/02/14	205.24145008953894	206.16440008046015	203.76643851512588	204.4996337890625	1718700
2020/02/18	204.04240890689545	204.49095222976996	199.42762083272632	201.16140747070312	2736500
2020/02/19	202.70543606491566	205.12065240359507	201.2218037352356	204.71524047851562	2207100
2020/02/20	203.9217095672328	204.34436362043357	199.4708117547424	200.74742126464844	3183700
2020/02/21	199.17753797247013	199.9452305124892	196.98658634463646	198.92738342285156	3081600
2020/02/24	192.5529340794868	195.53745433859666	191.95775423288165	193.6829071044922	4139400
2020/02/25	193.88990125532	194.83010627120214	186.2215984117418	187.70523071289062	5343100
2020/02/26	188.645461077688	189.76681305996212	185.24690786516922	186.12673950195312	4171100
2020/02/27	181.56374037970144	184.14283580696406	177.14733955122895	177.42337036132812	5848200
2020/02/28	172.78033148081096	175.52274189953033	169.10065429136853	174.2383270263672	6727100
2020/03/02	174.79377740068065	181.91882279449288	171.5133034759013	181.7886505126953	5285500
2020/03/03	181.3807474174144	183.8020443912342	175.40993197301253	176.54681396484375	5677200
2020/03/04	178.63828622931865	181.31126649783556	175.91323706634094	181.15505981445312	3520400
2020/03/05	174.72433662202366	176.5815360971502	170.92314732787747	172.51998901367188	4151500
2020/03/06	165.48174281593168	170.3590720973605	164.26675729662855	167.364990234375	5071900
2020/03/09	150.641484646978	155.5621951729918	147.67343765870046	149.97323608398438	6443000
2020/03/10	157.61900924762543	160.89948319635323	150.3898127332517	159.98825073242188	6803900
2020/03/11	154.89388811248696	156.8812723338271	148.3763383774286	149.1747589111328	5314000
2020/03/12	138.85607279175903	144.71406336266136	130.1775682422741	130.7677001953125	8357700
