Date	Open	High	Low	Close	Volume
2020/01/02	47.00293888700131	47.91613270449346	46.63943425635985	47.698917388916016	9717800
2020/01/03	46.723673693496885	47.36645531859582	46.48429204068833	46.65274429321289	20029800
2020/01/06	45.952325715045994	46.205005733459046	45.66418100370848	45.98335647583008	4031600
2020/01/07	47.831910868198946	49.11747724949517	47.375313934844264	49.0687141418457	13402800
2020/01/08	49.028817226779026	49.09974661568866	48.24418030903783	48.448097229003906	4806200
2020/01/09	48.935724365274034	49.04654899756827	48.00923206270194	48.904693603515625	4421200
2020/01/10	49.02881149784402	49.27262701610718	48.470254462795054	49.13077163696289	6307800
2020/01/13	49.316964831173316	49.51644783045957	49.01552167489879	49.299232482910156	4810800
2020/01/14	49.04211604364405	49.85778711229335	48.70521158986013	48.816036224365234	6707000
2020/01/15	48.43479750001636	48.496859022578775	47.39747719900284	47.69005584716797	12352000
2020/01/16	48.03139524267433	48.47025984215538	47.65015823476977	48.23974609375	4878600
2020/01/17	48.35501146398684	48.749546942231945	47.9294452194337	48.50130081176758	4696000
2020/01/21	48.319539323963276	48.60768404222329	48.09345612876242	48.42593002319336	4112200
2020/01/22	48.66087403880872	49.1928342591251	48.230877342000944	48.47468948364258	2711000
2020/01/23	48.64757660474055	48.962318134935	48.08015506399003	48.87809371948242	3666400
2020/01/24	49.347999168805934	49.37016545126503	47.11820779025477	47.53047561645508	5709800
2020/01/27	45.606546352621564	46.31582662548858	45.36273421816014	45.65087890625	5319800
2020/01/28	46.16954089995087	46.61727334598586	45.916860882307205	46.19170379638672	3960600
2020/01/29	46.24932603248216	46.55519964947995	45.39375992694898	45.42035675048828	3447400
2020/01/30	45.02138900756836	45.25633664236418	44.17469073601556	45.02138900756836	4912200
2020/01/31	44.59583108995787	44.75098489781466	42.96892630938929	43.21274185180664	7770400
2020/02/03	43.59398497951636	43.74027433686778	43.11965558800426	43.24378204345703	4224400
2020/02/04	44.64460722790822	45.296256793189116	44.3653302922594	45.08790588378906	6819800
2020/02/05	47.87181589790763	49.44996124772015	46.652744721655544	48.102333068847656	12321000
2020/02/06	48.115624235077846	48.315107226471994	47.26892239503271	48.089027404785156	4231400
2020/02/07	47.725529607181166	47.87181557695467	46.94088917956894	47.08274459838867	5007600
2020/02/10	46.64387643857742	47.95160587738791	46.55078414400682	47.94274139404297	4020400
2020/02/11	48.3195306892148	49.10860138318728	47.938293754493465	48.257469177246094	5751200
2020/02/12	48.54119774055857	49.12635176981829	48.461403855564065	48.62985610961914	4005000
2020/02/13	48.328408845962315	49.18840915817484	47.93387338733072	48.92686462402344	3652000
2020/02/14	49.095314506369945	49.183972863699644	48.164388226009926	48.479129791259766	2195000
2020/02/18	47.973771682551444	48.22645173161977	47.366451425411945	47.41521453857422	2194200
2020/02/19	47.89396983839292	48.74510213767098	47.778711282626375	48.683040618896484	3231000
2020/02/20	48.379258967846354	48.72174528993369	47.632020093721216	48.09459686279297	2554400
2020/02/21	47.667601682146376	47.95226377511838	46.524504510650694	46.73800277709961	4047200
2020/02/24	44.9232761991	45.72389039962811	44.451805277366546	44.536312103271484	6910200
2020/02/25	44.88769595082265	44.96330857724224	42.81944527254685	43.22420120239258	5441000
2020/02/26	43.76684292796918	44.224970916693145	41.87650675358458	42.15227127075195	7456400
2020/02/27	40.97359281354966	41.70748530208306	39.92390000889045	39.977272033691406	8248000
2020/02/28	38.602886953463816	41.09813084199706	38.251506429053904	40.34644317626953	10948800
2020/03/02	40.74229816794506	42.37910681629847	40.07067198570318	42.352420806884766	9250200
2020/03/03	41.92987447867217	43.13079584351317	39.67481498592823	39.76822280883789	11342200
2020/03/04	40.390919093012904	41.63186947599012	39.599202447124306	41.48064422607422	9008600
2020/03/05	40.04398231801242	40.72895144238478	39.17665315690679	39.44352340698242	8313600
2020/03/06	37.98018885214547	39.45242603769545	37.775588170274474	38.67850112915039	10880600
2020/03/09	35.75179713902098	36.63247244096819	34.670970056077664	34.675418853759766	12189800
2020/03/10	36.018688750405396	36.472367931562424	33.825898689026296	36.24108123779297	12821600
2020/03/11	35.11577539604631	35.6317276396408	32.567159173546926	32.647220611572266	18819600
2020/03/12	31.02819693501057	31.317307811378413	27.505499490216383	27.718996047973633	20688400
2020/03/13	29.689391313187024	31.130493402046103	27.75012892747224	31.121599197387695	13216600
2020/03/16	27.332035040845117	29.22236934870422	24.80565643310547	24.80565643310547	13245600
2020/03/17	26.019920928955077	28.00811030186154	24.400903898184186	27.799060821533203	14931000
2020/03/18	25.050287700447	27.060715834088086	24.271914054968963	25.775287628173828	13632000
2020/03/19	24.71670222610544	28.039246707205375	23.640323344370216	26.936180114746094	13221200
2020/03/20	27.630042165865827	28.635255462588816	25.926516594283413	26.526975631713867	10194600
2020/03/23	28.581885711021783	30.530042834427775	27.736793512793863	29.137866973876953	19436000
2020/03/24	31.086014829425913	33.7992019045726	31.086014829425913	33.67911148071289	17734800
2020/03/25	33.69245556180619	34.84000139734663	32.82067758088506	33.32773208618164	17580800
2020/03/26	33.559028316076116	33.848139257027206	32.153509421048035	33.14537811279297	8952000
2020/03/27	31.775439157476157	31.997831641179793	30.218691771550713	30.334333419799805	9326600
2020/03/30	30.868076273062506	31.42850626139443	29.947371560379995	30.685712814331055	6826600
2020/03/31	30.294300081010373	31.548593374473924	29.9696056079974	30.156417846679688	10725400
2020/04/01	28.95550129755479	29.78725042542323	27.57666854880267	27.928049087524414	7833200
2020/04/02	27.469918407461048	29.00442686016906	27.407648784480894	28.902128219604492	8014600
2020/04/03	28.621912024134577	29.36025670017592	28.030348898740492	28.48402976989746	6238000
2020/04/06	30.191998817137794	33.091998364087715	29.911785542246456	32.905189514160156	9534600
2020/04/07	34.07053316049748	34.24844785401162	32.24246638668473	32.62053298950195	8663800
2020/04/08	33.527887642678465	35.59613829774044	33.087551501097465	35.36929702758789	13348200
2020/04/09	35.36039705140666	37.31300235295888	34.630950138425106	34.89337158203125	12136600
2020/04/13	34.75104992119808	35.60503967791958	34.03050041180952	35.38709259033203	4896800
2020/04/14	36.298895068421906	37.09950922612243	35.84966138029886	36.445674896240234	5572400
2020/04/15	35.35151426018747	35.422678097545294	34.39077700505428	34.94675827026367	5062400
2020/04/16	35.10687318215609	35.43601306633167	34.09721292669013	34.49751663208008	5613200
2020/04/17	35.84521646747719	36.23662938409523	34.773286533193165	35.7340202331543	6323000
2020/04/20	35.12022071269122	35.60948349945274	34.49752107797655	34.564239501953125	4356600
2020/04/21	34.02159944201934	34.29291852953886	33.17206196292823	33.292152404785156	4636400
2020/04/22	34.69766526934827	35.37373671259153	34.14168423616045	35.151344299316406	3702200
2020/04/23	35.13800117035682	36.023122021826964	34.915608757886204	35.04904556274414	3385000
2020/04/24	35.240312666534095	36.65917433278287	35.04905500454923	36.47681427001953	4548600
2020/04/27	36.73923781748456	37.74890159900118	36.73923781748456	37.677734375	6619200
2020/04/28	38.972049221928735	39.93723151821588	38.3893787692135	38.85195541381836	7225000
2020/04/29	40.052886346833134	41.24046135608164	39.830493870489676	41.040306091308594	7414800
2020/04/30	40.688928190488504	40.74230021199359	38.73187375722632	39.0209846496582	5900800
2020/05/01	38.01577183433872	38.082490258360856	36.18770534070831	36.25886917114258	6508000
2020/05/04	36.34337995049065	36.53908642566316	35.6361734681101	36.48126220703125	4582000
2020/05/05	37.20626688212518	38.50503830098146	36.90381293863697	37.12620544433594	4376000
2020/05/06	37.80672424175379	38.04690854414952	37.07282832778465	37.255191802978516	2930000
2020/05/07	38.01131815115114	38.73187092982835	37.611011051886024	38.029109954833984	5934600
2020/05/08	37.73555401138095	39.955033383520934	37.139543799615524	39.89720916748047	6769400
2020/05/11	39.14108020126394	39.87052733353955	38.754116027635675	39.27451705932617	3881800
2020/05/12	39.18110272492572	39.99061455254353	38.24705505371094	38.24705505371094	3759400
2020/05/13	38.745217039439986	38.85196447665269	36.72144417139661	37.33969497680664	4468800
2020/05/14	36.82374448576245	38.2248176834434	36.06760807436907	38.16254806518555	4683400
2020/05/15	36.74813120094804	37.357484367704586	36.53018414753036	37.161781311035156	5079200
2020/05/18	38.16699771398218	39.812704161648206	38.055801469955014	39.594757080078125	4543000
2020/05/19	39.34567730444664	40.26193323964034	39.181105646980605	39.203346252441406	4026400
2020/05/20	39.993020667176324	41.13644298370443	39.76076087933949	40.77912521362305	8132000
2020/05/21	40.40840643747376	40.85952367272121	39.068457087670055	39.13991928100586	4688600
2020/05/22	38.82278468712681	39.38556417022248	38.603927324459804	39.22030258178711	3631000
2020/05/26	40.850597873006805	42.50766852931677	40.64513933583376	41.9180908203125	10316600
2020/05/27	42.59699573501577	44.325528405182595	42.46299942225297	43.21337127685547	20745600
2020/05/28	43.11956843472969	44.093265052248995	42.436194844059536	42.62378692626953	12229200
2020/05/29	42.72205179172483	43.713614840502316	42.48979199971653	42.88731002807617	14361600
2020/06/01	42.42279004473055	43.16422677543168	42.00740568703851	42.76224136352539	4911000
2020/06/02	42.990044984988586	43.86101076707193	42.84711717952702	43.25356674194336	7014200
2020/06/03	46.027264943532984	49.03768375195121	45.915602489431905	48.591033935546875	17451000
2020/06/04	48.2783740504921	48.57763199890698	47.22874772802424	47.72452926635742	7794000
2020/06/05	48.75629316455557	50.59648813552604	48.75629316455557	49.13147735595703	7885200
2020/06/08	49.60938976288711	49.85504849918314	47.55033405284433	48.44810104370117	6909400
2020/06/09	47.77366633368208	48.45704004159828	47.02776192096752	47.22428894042969	9208600
2020/06/10	47.56820799447964	47.57267544702987	46.29972408364075	46.60791015625	5804600
2020/06/11	45.334957009985	45.544882971908315	43.40096245960056	43.526023864746094	7530600
2020/06/12	45.31709542211298	45.821808548684494	43.262506700702055	44.499725341796875	3874000
2020/06/15	43.15529862847093	45.263482515524245	43.106166885000725	45.22328567504883	5210000
2020/06/16	46.88929522459723	47.33147755096066	45.55827738590975	46.35331344604492	5705800
2020/06/17	46.822286266186374	47.30466873321279	46.384568085143904	46.715087890625	4798600
2020/06/18	46.40244369149972	46.83122705585473	46.08979021988687	46.58110427856445	3401000
2020/06/19	47.74240154124291	48.050591023983664	46.17019559010902	46.20592498779297	9214600
2020/06/22	46.34438967235356	46.585581001742405	45.57615138044863	46.32205581665039	2861800
2020/06/23	46.90716081452601	47.14835211708071	46.447112062634965	46.48731231689453	2288800
2020/06/24	46.027274057232326	46.487322913994625	44.91064929512255	45.14737319946289	5785000
2020/06/25	44.65157241590884	45.643135325373954	44.21832164846986	45.549339294433594	3351800
2020/06/26	45.42427475573187	45.53147314109581	44.44164674356405	44.68730545043945	8917400
2020/06/29	45.04015311822422	46.112113056097996	44.40144733268141	45.81285858154297	3936600
2020/06/30	45.94241027966112	47.237695707650545	45.66548610710651	47.03670120239258	5750800
2020/07/01	46.95628866136986	47.11261880556557	46.05405763364347	46.05852508544922	3124200
2020/07/02	47.07688324428648	47.46993378844875	46.42477503326707	46.724029541015625	4249600
2020/07/06	47.67539719687024	48.62676342182524	47.3493447614293	48.12651443481445	3078200
2020/07/07	47.92106046349802	48.18011818162401	46.8089033457287	46.89376449584961	4642200
2020/07/08	46.88034935456365	47.07687630149498	45.794990510889754	46.44263458251953	9480800
2020/07/09	46.37118783877471	48.83669354054172	45.37962461482812	48.037193298339844	10115800
2020/07/10	48.50616455049788	48.50616455049788	46.99648954812123	47.617332458496094	3956000
2020/07/13	48.55975853502388	49.18506883011243	46.6570297567736	46.70616149902344	6849800
2020/07/14	46.397980808664535	48.17118109090172	46.143390554518874	48.046119689941406	6773400
2020/07/15	48.40344262373735	48.617832630830975	47.6620022806749	48.1845817565918	3273600
