Date	Open	High	Low	Close	Volume	Date
2007/12/31 	10.925850745004583	11.13596248626709	10.925850745004583	11.13596248626709	125968	2007/12/31 
2008/01/02 	11.135960530215987	11.514163467793894	11.051915848473582	11.346074104309082	191285	2008/01/02 
2008/01/03 	11.346074748513104	11.64023208618164	11.26202912713024	11.64023208618164	258935	2008/01/03 
2008/01/04 	11.640232060308634	12.375625870279697	11.598208782276311	12.186524391174316	421061	2008/01/04 
2008/01/07 	11.976411374068842	12.0184337159469	11.514163743673084	11.5982084274292	230942	2008/01/07 
2008/01/08 	11.556189361404382	11.871358884568595	11.38809994624355	11.535178184509277	243772	2008/01/08 
2008/01/09 	11.38809895520368	11.97641372680664	11.346076605070435	11.97641372680664	390736	2008/01/09 
2008/01/10 	12.060458796253442	12.270571488220146	11.682256698608398	11.682256698608398	309089	2008/01/10 
2008/01/11 	11.724277405558302	12.0184347591051	11.724277405558302	11.9343900680542	160959	2008/01/11 
2008/01/14 	11.114953252646636	11.934391922316097	11.114953252646636	11.703268051147461	190119	2008/01/14 
2008/01/15 	11.703268051147461	11.850346283338274	11.556188884087861	11.703268051147461	418729	2008/01/15 
2008/01/16 	11.682256698608398	11.682256698608398	11.262031314674994	11.682256698608398	150462	2008/01/16 
2008/01/17 	11.682254610675235	11.766299298493358	11.430119612352254	11.661243438720703	86311	2008/01/17 
2008/01/18 	11.766300977504024	12.27057104610759	11.661245102740256	11.74528980255127	804799	2008/01/18 
2008/01/21 	11.745289736342063	11.766300911176375	11.40911000412434	11.514165878295898	212280	2008/01/21 
2008/01/22 	10.71573543548584	11.09393834655255	10.71573543548584	10.71573543548584	298592	2008/01/22 
2008/01/23 	10.715738405707993	10.841806389296977	9.980344483567006	10.169445991516113	248438	2008/01/23 
2008/01/24 	10.211466607927086	10.505623939883268	10.001353960853077	10.190455436706543	171457	2008/01/24 
2008/01/25 	10.211467742919922	10.358546892679978	10.211467742919922	10.211467742919922	206448	2008/01/25 
2008/01/28 	10.25348779903625	10.925848007202148	10.21146546131372	10.925848007202148	520203	2008/01/28 
2008/01/29 	10.925851458258466	11.472143890941073	10.925851458258466	11.220008850097656	578522	2008/01/29 
2008/01/30 	11.220006737910353	11.262029080995344	10.757759094238281	10.757759094238281	282263	2008/01/30 
2008/01/31 	10.085398311602242	10.841804189956095	10.085398311602242	10.589668273925781	220445	2008/01/31 
2008/02/01 	10.337535519582737	10.841806525400335	10.337535519582737	10.631693840026855	225110	2008/02/01 
2008/02/12 	10.631691161785442	10.820791689603174	10.631691161785442	10.652702331542969	134133	2008/02/12 
2008/02/13 	10.757761119724455	11.051918511572339	10.547648429870605	10.547648429870605	195951	2008/02/13 
