Date	Open	High	Low	Close	Volume
2020/01/02	11.838726997375488	11.838726997375488	11.838726997375488	11.838726997375488	1000
2020/01/03	11.885335794391128	11.978554469946808	11.745508670056786	11.79211711883545	18025
2020/01/06	11.792117657468655	11.838726997375488	11.792117657468655	11.838726997375488	2000
2020/01/07	11.745509147644043	11.792117598317866	11.652290468297974	11.745509147644043	26000
2020/01/08	11.698899269104004	11.74550860663015	11.372634795420156	11.698899269104004	15000
2020/01/09	11.838726488740196	11.838726488740196	10.859933948746106	11.372634887695312	362000
2020/01/10	11.279416692904844	11.419243812561035	10.999761564593316	11.419243812561035	104000
2020/01/13	11.139589248117213	11.186198586694948	11.046371459960938	11.046371459960938	29000
2020/01/14	10.999762411301868	11.046371751108076	10.859934391883245	10.906543731689453	118000
2020/01/15	10.906543731689453	11.092980201915069	10.906543731689453	10.906543731689453	73000
2020/01/16	10.999761994595673	10.999761994595673	10.859933980474183	10.953152656555176	32000
2020/01/17	10.999761994595673	10.999761994595673	10.859933980474183	10.953152656555176	32424
2020/01/20	10.906543731689453	10.953153071495661	10.859934391883245	10.906543731689453	20396
2020/01/30	10.487060629540562	10.533669965693905	9.974359709852083	10.160796165466309	143000
2020/01/31	10.067578760793527	10.067578760793527	9.303187930528269	9.601487159729004	408286
2020/02/03	9.508268356323242	9.508268356323242	9.182004773355773	9.508268356323242	98000
2020/02/04	9.508268894942153	9.554878234863281	9.508268894942153	9.554878234863281	22000
2020/02/05	9.554877478401101	9.741313934326172	9.461658805938994	9.741313934326172	119000
2020/02/06	9.6947045315065	9.6947045315065	9.601486748683811	9.648096084594727	28000
2020/02/07	9.601487030884899	9.648096368165728	9.41505057076075	9.508268356323242	194000
2020/02/10	9.321832302519411	9.46165943145752	9.321832302519411	9.46165943145752	9249
2020/02/11	9.415051104099115	9.554878234863281	9.415051104099115	9.554878234863281	288000
2020/02/12	9.554877821822716	9.601487159729004	9.508268483916428	9.601487159729004	17000
2020/02/13	9.601487159729004	9.694704946542402	9.508268483916428	9.601487159729004	174000
2020/02/14	9.55487769360407	9.601487030884899	9.508268356323242	9.508268356323242	176025
2020/02/17	9.415050506591797	9.415050506591797	9.321831832665477	9.415050506591797	144000
2020/02/18	9.321831703186035	9.368441039501795	9.321831703186035	9.321831703186035	35000
2020/02/19	9.368441581726074	9.415050920739477	9.368441581726074	9.368441581726074	15000
2020/02/20	9.368441581726074	9.415050920739477	9.368441581726074	9.368441581726074	15000
2020/02/21	9.415050506591797	9.415050506591797	9.415050506591797	9.415050506591797	7249
2020/02/24	9.415051217276435	9.415051217276435	9.303188444521354	9.31251049041748	17000
2020/02/25	9.219292408082543	9.368441581726074	9.219292408082543	9.368441581726074	17000
2020/02/26	9.32183253631361	9.32183253631361	8.967602793253784	9.31251049041748	97000
2020/02/27	9.31251049041748	9.31251049041748	9.182005403868596	9.31251049041748	42000
2020/03/02	9.256579630569599	9.256579630569599	9.079464321475562	9.107430458068848	28000
2020/03/03	9.228613439936955	9.312510071227159	9.116751561216415	9.275222778320312	23000
2020/03/04	9.228613439936955	9.275222778320312	9.228613439936955	9.275222778320312	8000
2020/03/05	9.135395532906815	9.27522265723225	9.135395532906815	9.265900611877441	37000
2020/03/06	9.228613680171042	9.368441698961034	9.219292523451077	9.293867111206055	29000
2020/03/09	9.070142571875651	9.14471804955839	8.874384943330833	9.135396003723145	92000
2020/03/10	8.865062955394057	9.31251049041748	8.827775660808772	9.31251049041748	88000
2020/03/11	9.126073116360054	9.154038362287855	9.060820579528809	9.060820579528809	21000
2020/03/12	9.135395161335701	9.135395161335701	8.6786256255187	9.060820579528809	93000
2020/03/13	9.060820579528809	9.060820579528809	9.060820579528809	9.060820579528809	0
2020/03/16	9.032854966964136	9.042177012478867	8.855740547180176	8.855740547180176	64000
2020/03/17	8.818453440776382	9.303188260813128	8.7811661469274	9.126073837280273	108000
2020/03/18	9.135395882992322	9.21929251640233	8.874384826049457	9.126073837280273	23000
2020/03/19	8.86506282810194	8.86506282810194	8.231177940254721	8.706591606140137	115000
2020/03/20	8.482867185819575	8.576084969235692	8.436257849611945	8.566762924194336	78000
2020/03/23	8.538798211395086	8.538798211395086	8.082028643829007	8.529476165771484	43000
2020/03/24	8.529476165771484	8.529476165771484	8.38964903741426	8.529476165771484	57000
2020/03/25	8.56676335921781	8.855740547180176	8.389648939433851	8.855740547180176	43000
2020/03/26	8.855740547180176	8.855740547180176	8.855740547180176	8.855740547180176	0
2020/03/27	8.454900951639145	8.734556076609385	8.371004325248158	8.725234031677246	47000
2020/03/30	8.725234031677246	8.725234031677246	8.725234031677246	8.725234031677246	0
2020/03/31	9.16336073862953	9.16336073862953	8.669303894042969	8.669303894042969	18000
