Price	Close	High	Low	Open	Volume	Date
Ticker	2231.TW	2231.TW	2231.TW	2231.TW	2231.TW	
Date						
2007/12/31 	21.616199493408203	21.616199493408203	19.88690455407143	19.88690455407143	1202557	2007/12/31 
2008/01/02 	19.487836837768555	21.616199680061964	19.487836837768555	19.953415267633403	1209867	2008/01/02 
2008/01/03 	19.487836837768555	19.487836837768555	19.487836837768555	19.487836837768555	0	2008/01/03 
2008/01/04 	19.953411102294922	19.953411102294922	19.953411102294922	19.953411102294922	3655	2008/01/04 
2008/01/07 	19.953411102294922	19.953411102294922	19.953411102294922	19.953411102294922	0	2008/01/07 
2008/01/08 	19.620861053466797	19.620861053466797	19.620861053466797	19.620861053466797	1279	2008/01/08 
2008/01/09 	19.620861053466797	19.620861053466797	19.620861053466797	19.620861053466797	0	2008/01/09 
2008/01/10 	19.620861053466797	19.620861053466797	19.620861053466797	19.620861053466797	0	2008/01/10 
2008/01/11 	19.620861053466797	19.620861053466797	19.620861053466797	19.620861053466797	0	2008/01/11 
2008/01/14 	19.620861053466797	19.620861053466797	19.620861053466797	19.620861053466797	0	2008/01/14 
2008/01/15 	19.953411102294922	20.28596837905637	19.288297708017115	19.288297708017115	18275	2008/01/15 
2008/01/16 	19.620861053466797	19.620861053466797	16.627849097028296	16.627849097028296	47517	2008/01/16 
2008/01/17 	19.620861053466797	19.620861053466797	19.620861053466797	19.620861053466797	0	2008/01/17 
2008/01/18 	19.620861053466797	19.620861053466797	19.620861053466797	19.620861053466797	0	2008/01/18 
2008/01/21 	19.122024536132812	19.122024536132812	18.955745860297682	18.955745860297682	4386	2008/01/21 
2008/01/22 	18.789464950561523	18.789464950561523	18.789464950561523	18.789464950561523	731	2008/01/22 
2008/01/23 	18.789464950561523	18.789464950561523	18.789464950561523	18.789464950561523	0	2008/01/23 
2008/01/24 	18.789464950561523	18.789464950561523	18.789464950561523	18.789464950561523	0	2008/01/24 
2008/01/25 	18.55667495727539	18.55667495727539	18.55667495727539	18.55667495727539	3657	2008/01/25 
2008/01/28 	18.55667495727539	18.55667495727539	18.55667495727539	18.55667495727539	0	2008/01/28 
2008/01/29 	18.55667495727539	18.55667495727539	18.55667495727539	18.55667495727539	3655	2008/01/29 
2008/01/30 	18.55667495727539	18.55667495727539	18.55667495727539	18.55667495727539	0	2008/01/30 
2008/01/31 	19.288301467895508	19.354813168061977	19.288301467895508	19.354813168061977	7310	2008/01/31 
2008/02/01 	19.288301467895508	19.288301467895508	19.288301467895508	19.288301467895508	0	2008/02/01 
2008/02/12 	19.288301467895508	19.288301467895508	19.288301467895508	19.288301467895508	0	2008/02/12 
2008/02/13 	19.288301467895508	19.288301467895508	19.288301467895508	19.288301467895508	0	2008/02/13 
2008/02/14 	19.288301467895508	19.288301467895508	19.288301467895508	19.288301467895508	0	2008/02/14 
2008/02/15 	19.288301467895508	19.288301467895508	19.288301467895508	19.288301467895508	0	2008/02/15 
2008/02/18 	19.288301467895508	19.288301467895508	19.288301467895508	19.288301467895508	0	2008/02/18 
2008/02/19 	18.290632247924805	18.290632247924805	18.290632247924805	18.290632247924805	1827	2008/02/19 
2008/02/20 	18.290632247924805	18.290632247924805	16.62784770888535	16.62784770888535	367346	2008/02/20 
2008/02/21 	18.091094970703125	18.091094970703125	18.091094970703125	18.091094970703125	1827	2008/02/21 
2008/02/22 	18.290632247924805	18.290632247924805	16.62784770888535	16.62784770888535	367346	2008/02/22 
2008/02/25 	18.357141494750977	18.357141494750977	18.357141494750977	18.357141494750977	1827	2008/02/25 
2008/02/26 	18.357141494750977	18.357141494750977	18.357141494750977	18.357141494750977	0	2008/02/26 
2008/02/27 	18.357141494750977	18.357141494750977	18.357141494750977	18.357141494750977	0	2008/02/27 
2008/02/29 	18.290632247924805	20.069811982915915	17.958076035664167	20.069811982915915	734692	2008/02/29 
2008/03/03 	18.290632247924805	18.290632247924805	18.290632247924805	18.290632247924805	0	2008/03/03 
2008/03/04 	18.290632247924805	18.290632247924805	18.290632247924805	18.290632247924805	0	2008/03/04 
2008/03/05 	18.363792419433594	18.689696823159345	18.363792419433594	18.623186288151746	9503	2008/03/05 
2008/03/06 	17.9913272857666	17.9913272857666	17.9913272857666	17.9913272857666	36	2008/03/06 
2008/03/07 	17.9913272857666	17.9913272857666	17.9913272857666	17.9913272857666	0	2008/03/07 
2008/03/10 	19.30825424194336	19.30825424194336	17.991328464606504	17.991328464606504	11038	2008/03/10 
2008/03/11 	19.953411102294922	19.953411102294922	19.953411102294922	19.953411102294922	1827	2008/03/11 
2008/03/12 	19.953411102294922	20.28596837905637	19.953411102294922	20.28596837905637	7858	2008/03/12 
2008/03/13 	19.953411102294922	19.953411102294922	19.953411102294922	19.953411102294922	0	2008/03/13 
