Price	Close	High	Low	Open	Volume	Date
Ticker	TGLR	TGLR	TGLR	TGLR	TGLR	
Date						
2023/09/08 	23.428361892700195	23.47244440769919	23.35488729729538	23.443056064366527	1900	2023/09/08 
2023/09/11 	23.42052459716797	23.4626507565537	23.410727859369814	23.44305728095739	4200	2023/09/11 
2023/09/12 	23.241247177124023	23.315699012896562	23.021804385181177	23.26671719778949	9900	2023/09/12 
2023/09/13 	23.280433654785156	23.340193191861218	23.16875309160902	23.227531646977717	4200	2023/09/13 
2023/09/14 	23.537099838256836	23.599798579099676	23.462648003094177	23.462648003094177	1500	2023/09/14 
2023/09/15 	23.250064849853516	23.511631949620856	23.227532166665355	23.511631949620856	2000	2023/09/15 
2023/09/18 	23.32550048828125	23.364687443157052	23.249088542225028	23.3059088793802	22200	2023/09/18 
2023/09/19 	23.247127532958984	23.756546715092263	23.109976933360326	23.756546715092263	37100	2023/09/19 
2023/09/20 	23.060991287231445	23.541020174785473	23.060991287231445	23.541020174785473	16000	2023/09/20 
2023/09/21 	22.7279109954834	22.972823821432414	22.71811425822105	22.972823821432414	4100	2023/09/21 
2023/09/22 	22.757301330566406	22.81608175928526	22.728892097994677	22.776894806806023	5100	2023/09/22 
2023/09/25 	22.78668785095215	22.806281324015448	22.541775043270206	22.541775043270206	9300	2023/09/25 
2023/09/26 	22.589529037475586	22.589529037475586	22.471823333543227	22.569911108342076	5400	2023/09/26 
2023/09/27 	22.64936637878418	22.746473840208157	22.520871346214644	22.746473840208157	5600	2023/09/27 
2023/09/28 	22.77589988708496	22.848485870258656	22.73764622457781	22.73764622457781	4300	2023/09/28 
2023/09/29 	22.623865127563477	22.74647440896235	22.599343645457534	22.74647440896235	4600	2023/09/29 
2023/10/02 	22.52970314025879	22.618962318274626	22.408074180267896	22.60915335012671	5600	2023/10/02 
2023/10/03 	22.2452449798584	22.344313101227165	22.177564426185587	22.344313101227165	4200	2023/10/03 
2023/10/04 	22.365894317626953	22.365894317626953	22.20699204821771	22.314888812583046	3000	2023/10/04 
2023/10/05 	22.280561447143555	22.33450983679131	22.265848930283035	22.265848930283035	1000	2023/10/05 
2023/10/06 	22.452211380004883	22.579726082441688	22.177567782514892	22.177567782514892	2500	2023/10/06 
2023/10/09 	22.650348663330078	22.650348663330078	22.476735736238698	22.476735736238698	800	2023/10/09 
2023/10/10 	22.73666763305664	22.862219803746633	22.73666763305664	22.790616021410166	1000	2023/10/10 
2023/10/11 	22.753341674804688	22.753341674804688	22.69252719868246	22.726857649579	500	2023/10/11 
2023/10/12 	22.64936637878418	22.761186354930018	22.64936637878418	22.653289591318735	500	2023/10/12 
2023/10/13 	22.571874618530273	22.717044693166095	22.571874618530273	22.717044693166095	800	2023/10/13 
2023/10/16 	22.808271408081055	22.8180803760394	22.77099807818708	22.8180803760394	1000	2023/10/16 
2023/10/17 	22.77099609375	22.77099609375	22.77099609375	22.77099609375	100	2023/10/17 
2023/10/18 	22.583650588989258	22.599345311546085	22.579727376067375	22.599345311546085	500	2023/10/18 
2023/10/19 	22.373741149902344	22.501255850267153	22.373741149902344	22.501255850267153	700	2023/10/19 
2023/10/20 	22.07849884033203	22.20699200266688	22.07849884033203	22.167758006258495	3400	2023/10/20 
2023/10/23 	21.965696334838867	22.106943209921123	21.965696334838867	22.01081795571934	1500	2023/10/23 
2023/10/24 	22.083404541015625	22.295273006533723	22.04515087629944	22.295273006533723	4100	2023/10/24 
2023/10/25 	21.898019790649414	21.91763585505286	21.898019790649414	21.902923339032956	900	2023/10/25 
2023/10/26 	21.728107452392578	21.970700163315474	21.705519167386335	21.970700163315474	1800	2023/10/26 
2023/10/27 	21.479623794555664	21.618105821514142	21.4206934390005	21.607302484986498	6000	2023/10/27 
2023/10/30 	21.656410217285156	21.69569712275911	21.597481732376988	21.597481732376988	3000	2023/10/30 
2023/10/31 	21.849891662597656	21.849891662597656	21.725159686668437	21.725159686668437	2800	2023/10/31 
2023/11/01 	22.04239845275879	22.04239845275879	21.626948574606935	21.626948574606935	1200	2023/11/01 
2023/11/02 	22.504981994628906	22.515785328632013	22.329178199555272	22.334088124719507	600	2023/11/02 
2023/11/03 	22.717130661010742	22.74659583797461	22.717130661010742	22.736774112319985	1200	2023/11/03 
2023/11/06 	22.663114547729492	22.835971678334737	22.618917717827575	22.834990067735465	2400	2023/11/06 
2023/11/07 	22.633647918701172	22.638557844685362	22.589451091633265	22.599272816904197	1600	2023/11/07 
2023/11/08 	22.671953201293945	22.671953201293945	22.62873985450951	22.62873985450951	500	2023/11/08 
2023/11/09 	22.475522994995117	22.66802356972229	22.47159280614948	22.618916815480386	3800	2023/11/09 
2023/11/10 	22.808467864990234	22.808467864990234	22.48141175186401	22.48141175186401	3900	2023/11/10 
2023/11/13 	22.763290405273438	22.943024408273246	22.72498699019879	22.943024408273246	700	2023/11/13 
